Date;Url;Message;Stacktrace
Sat Feb 25 2023 11:00:31 GMT+0100 (heure normale d’Europe centrale);undefined;relation "matemrials" does not exist;error: relation "matemrials" does not exist    at Parser.parseErrorMessage (/var/www/html/ANGULAR/server/node_modules/pg-protocol/dist/parser.js:287:98)    at Parser.handlePacket (/var/www/html/ANGULAR/server/node_modules/pg-protocol/dist/parser.js:126:29)    at Parser.parse (/var/www/html/ANGULAR/server/node_modules/pg-protocol/dist/parser.js:39:38)    at Socket.<anonymous> (/var/www/html/ANGULAR/server/node_modules/pg-protocol/dist/index.js:11:42)    at Socket.emit (node:events:513:28)    at addChunk (node:internal/streams/readable:315:12)    at readableAddChunk (node:internal/streams/readable:289:9)    at Socket.Readable.push (node:internal/streams/readable:228:10)    at TCP.onStreamRead (node:internal/stream_base_commons:190:23)
Sat Feb 25 2023 11:02:28 GMT+0100 (heure normale d’Europe centrale);undefined;relation "matemrials" does not exist;error: relation "matemrials" does not exist    at Parser.parseErrorMessage (/var/www/html/ANGULAR/server/node_modules/pg-protocol/dist/parser.js:287:98)    at Parser.handlePacket (/var/www/html/ANGULAR/server/node_modules/pg-protocol/dist/parser.js:126:29)    at Parser.parse (/var/www/html/ANGULAR/server/node_modules/pg-protocol/dist/parser.js:39:38)    at Socket.<anonymous> (/var/www/html/ANGULAR/server/node_modules/pg-protocol/dist/index.js:11:42)    at Socket.emit (node:events:513:28)    at addChunk (node:internal/streams/readable:315:12)    at readableAddChunk (node:internal/streams/readable:289:9)    at Socket.Readable.push (node:internal/streams/readable:228:10)    at TCP.onStreamRead (node:internal/stream_base_commons:190:23)    at TCP.callbackTrampoline (node:internal/async_hooks:130:17)
Sat Feb 25 2023 11:02:37 GMT+0100 (heure normale d’Europe centrale);undefined;relation "matemrials" does not exist;error: relation "matemrials" does not exist    at Parser.parseErrorMessage (/var/www/html/ANGULAR/server/node_modules/pg-protocol/dist/parser.js:287:98)    at Parser.handlePacket (/var/www/html/ANGULAR/server/node_modules/pg-protocol/dist/parser.js:126:29)    at Parser.parse (/var/www/html/ANGULAR/server/node_modules/pg-protocol/dist/parser.js:39:38)    at Socket.<anonymous> (/var/www/html/ANGULAR/server/node_modules/pg-protocol/dist/index.js:11:42)    at Socket.emit (node:events:513:28)    at addChunk (node:internal/streams/readable:315:12)    at readableAddChunk (node:internal/streams/readable:289:9)    at Socket.Readable.push (node:internal/streams/readable:228:10)    at TCP.onStreamRead (node:internal/stream_base_commons:190:23)    at TCP.callbackTrampoline (node:internal/async_hooks:130:17)
Sat Feb 25 2023 11:02:43 GMT+0100 (heure normale d’Europe centrale);undefined;relation "matemrials" does not exist;error: relation "matemrials" does not exist    at Parser.parseErrorMessage (/var/www/html/ANGULAR/server/node_modules/pg-protocol/dist/parser.js:287:98)    at Parser.handlePacket (/var/www/html/ANGULAR/server/node_modules/pg-protocol/dist/parser.js:126:29)    at Parser.parse (/var/www/html/ANGULAR/server/node_modules/pg-protocol/dist/parser.js:39:38)    at Socket.<anonymous> (/var/www/html/ANGULAR/server/node_modules/pg-protocol/dist/index.js:11:42)    at Socket.emit (node:events:513:28)    at addChunk (node:internal/streams/readable:315:12)    at readableAddChunk (node:internal/streams/readable:289:9)    at Socket.Readable.push (node:internal/streams/readable:228:10)    at TCP.onStreamRead (node:internal/stream_base_commons:190:23)    at TCP.callbackTrampoline (node:internal/async_hooks:130:17)
Sat Feb 25 2023 11:24:56 GMT+0100 (heure normale d’Europe centrale);undefined;relation "matemrials" does not exist;error: relation "matemrials" does not exist    at Parser.parseErrorMessage (/var/www/html/ANGULAR/server/node_modules/pg-protocol/dist/parser.js:287:98)    at Parser.handlePacket (/var/www/html/ANGULAR/server/node_modules/pg-protocol/dist/parser.js:126:29)    at Parser.parse (/var/www/html/ANGULAR/server/node_modules/pg-protocol/dist/parser.js:39:38)    at Socket.<anonymous> (/var/www/html/ANGULAR/server/node_modules/pg-protocol/dist/index.js:11:42)    at Socket.emit (node:events:513:28)    at addChunk (node:internal/streams/readable:315:12)    at readableAddChunk (node:internal/streams/readable:289:9)    at Socket.Readable.push (node:internal/streams/readable:228:10)    at TCP.onStreamRead (node:internal/stream_base_commons:190:23)    at TCP.callbackTrampoline (node:internal/async_hooks:130:17)
Sat Feb 25 2023 11:27:30 GMT+0100 (heure normale d’Europe centrale);/materialsss;Page non trouvée;Error: Page non trouvée    at _404 (/var/www/html/ANGULAR/server/src/service/error/errorHandler.js:29:11)    at Layer.handle [as handle_request] (/var/www/html/ANGULAR/server/node_modules/express/lib/router/layer.js:95:5)    at trim_prefix (/var/www/html/ANGULAR/server/node_modules/express/lib/router/index.js:328:13)    at /var/www/html/ANGULAR/server/node_modules/express/lib/router/index.js:286:9    at Function.process_params (/var/www/html/ANGULAR/server/node_modules/express/lib/router/index.js:346:12)    at next (/var/www/html/ANGULAR/server/node_modules/express/lib/router/index.js:280:10)    at Function.handle (/var/www/html/ANGULAR/server/node_modules/express/lib/router/index.js:175:3)    at router (/var/www/html/ANGULAR/server/node_modules/express/lib/router/index.js:47:12)    at Layer.handle [as handle_request] (/var/www/html/ANGULAR/server/node_modules/express/lib/router/layer.js:95:5)    at trim_prefix (/var/www/html/ANGULAR/server/node_modules/express/lib/router/index.js:328:13)
Sat Feb 25 2023 11:31:37 GMT+0100 (heure normale d’Europe centrale);undefined;relation "matemrials" does not exist;error: relation "matemrials" does not exist    at Parser.parseErrorMessage (/var/www/html/ANGULAR/server/node_modules/pg-protocol/dist/parser.js:287:98)    at Parser.handlePacket (/var/www/html/ANGULAR/server/node_modules/pg-protocol/dist/parser.js:126:29)    at Parser.parse (/var/www/html/ANGULAR/server/node_modules/pg-protocol/dist/parser.js:39:38)    at Socket.<anonymous> (/var/www/html/ANGULAR/server/node_modules/pg-protocol/dist/index.js:11:42)    at Socket.emit (node:events:513:28)    at addChunk (node:internal/streams/readable:315:12)    at readableAddChunk (node:internal/streams/readable:289:9)    at Socket.Readable.push (node:internal/streams/readable:228:10)    at TCP.onStreamRead (node:internal/stream_base_commons:190:23)    at TCP.callbackTrampoline (node:internal/async_hooks:130:17)
Sat Feb 25 2023 11:32:49 GMT+0100 (heure normale d’Europe centrale);undefined;relation "matemrials" does not exist;error: relation "matemrials" does not exist    at Parser.parseErrorMessage (/var/www/html/ANGULAR/server/node_modules/pg-protocol/dist/parser.js:287:98)    at Parser.handlePacket (/var/www/html/ANGULAR/server/node_modules/pg-protocol/dist/parser.js:126:29)    at Parser.parse (/var/www/html/ANGULAR/server/node_modules/pg-protocol/dist/parser.js:39:38)    at Socket.<anonymous> (/var/www/html/ANGULAR/server/node_modules/pg-protocol/dist/index.js:11:42)    at Socket.emit (node:events:513:28)    at addChunk (node:internal/streams/readable:315:12)    at readableAddChunk (node:internal/streams/readable:289:9)    at Socket.Readable.push (node:internal/streams/readable:228:10)    at TCP.onStreamRead (node:internal/stream_base_commons:190:23)    at TCP.callbackTrampoline (node:internal/async_hooks:130:17)
Sat Feb 25 2023 11:34:32 GMT+0100 (heure normale d’Europe centrale);undefined;relation "matemrials" does not exist;error: relation "matemrials" does not exist    at Parser.parseErrorMessage (/var/www/html/ANGULAR/server/node_modules/pg-protocol/dist/parser.js:287:98)    at Parser.handlePacket (/var/www/html/ANGULAR/server/node_modules/pg-protocol/dist/parser.js:126:29)    at Parser.parse (/var/www/html/ANGULAR/server/node_modules/pg-protocol/dist/parser.js:39:38)    at Socket.<anonymous> (/var/www/html/ANGULAR/server/node_modules/pg-protocol/dist/index.js:11:42)    at Socket.emit (node:events:513:28)    at addChunk (node:internal/streams/readable:315:12)    at readableAddChunk (node:internal/streams/readable:289:9)    at Socket.Readable.push (node:internal/streams/readable:228:10)    at TCP.onStreamRead (node:internal/stream_base_commons:190:23)    at TCP.callbackTrampoline (node:internal/async_hooks:130:17)
Sat Feb 25 2023 11:35:57 GMT+0100 (heure normale d’Europe centrale);undefined;relation "matemrials" does not exist;error: relation "matemrials" does not exist    at Parser.parseErrorMessage (/var/www/html/ANGULAR/server/node_modules/pg-protocol/dist/parser.js:287:98)    at Parser.handlePacket (/var/www/html/ANGULAR/server/node_modules/pg-protocol/dist/parser.js:126:29)    at Parser.parse (/var/www/html/ANGULAR/server/node_modules/pg-protocol/dist/parser.js:39:38)    at Socket.<anonymous> (/var/www/html/ANGULAR/server/node_modules/pg-protocol/dist/index.js:11:42)    at Socket.emit (node:events:513:28)    at addChunk (node:internal/streams/readable:315:12)    at readableAddChunk (node:internal/streams/readable:289:9)    at Socket.Readable.push (node:internal/streams/readable:228:10)    at TCP.onStreamRead (node:internal/stream_base_commons:190:23)    at TCP.callbackTrampoline (node:internal/async_hooks:130:17)
Sat Feb 25 2023 11:41:19 GMT+0100 (heure normale d’Europe centrale);undefined;relation "matemrials" does not exist;error: relation "matemrials" does not exist    at Parser.parseErrorMessage (/var/www/html/ANGULAR/server/node_modules/pg-protocol/dist/parser.js:287:98)    at Parser.handlePacket (/var/www/html/ANGULAR/server/node_modules/pg-protocol/dist/parser.js:126:29)    at Parser.parse (/var/www/html/ANGULAR/server/node_modules/pg-protocol/dist/parser.js:39:38)    at Socket.<anonymous> (/var/www/html/ANGULAR/server/node_modules/pg-protocol/dist/index.js:11:42)    at Socket.emit (node:events:513:28)    at addChunk (node:internal/streams/readable:315:12)    at readableAddChunk (node:internal/streams/readable:289:9)    at Socket.Readable.push (node:internal/streams/readable:228:10)    at TCP.onStreamRead (node:internal/stream_base_commons:190:23)    at TCP.callbackTrampoline (node:internal/async_hooks:130:17)
Sat Feb 25 2023 11:52:38 GMT+0100 (heure normale d’Europe centrale);undefined;relation "matemrials" does not exist;error: relation "matemrials" does not exist    at Parser.parseErrorMessage (/var/www/html/ANGULAR/server/node_modules/pg-protocol/dist/parser.js:287:98)    at Parser.handlePacket (/var/www/html/ANGULAR/server/node_modules/pg-protocol/dist/parser.js:126:29)    at Parser.parse (/var/www/html/ANGULAR/server/node_modules/pg-protocol/dist/parser.js:39:38)    at Socket.<anonymous> (/var/www/html/ANGULAR/server/node_modules/pg-protocol/dist/index.js:11:42)    at Socket.emit (node:events:513:28)    at addChunk (node:internal/streams/readable:315:12)    at readableAddChunk (node:internal/streams/readable:289:9)    at Socket.Readable.push (node:internal/streams/readable:228:10)    at TCP.onStreamRead (node:internal/stream_base_commons:190:23)    at TCP.callbackTrampoline (node:internal/async_hooks:130:17)
Sat Feb 25 2023 12:39:26 GMT+0100 (heure normale d’Europe centrale);/materials;Une erreur est survenue;Error: Une erreur est survenue    at Object._500 (/var/www/html/ANGULAR/server/src/service/error/errorHandler.js:38:11)    at getAll (/var/www/html/ANGULAR/server/src/controllers/material.js:12:22)    at processTicksAndRejections (node:internal/process/task_queues:96:5)
Sat Feb 25 2023 12:40:07 GMT+0100 (heure normale d’Europe centrale);/materialsss;Page non trouvée;Error: Page non trouvée    at _404 (/var/www/html/ANGULAR/server/src/service/error/errorHandler.js:29:11)    at Layer.handle [as handle_request] (/var/www/html/ANGULAR/server/node_modules/express/lib/router/layer.js:95:5)    at trim_prefix (/var/www/html/ANGULAR/server/node_modules/express/lib/router/index.js:328:13)    at /var/www/html/ANGULAR/server/node_modules/express/lib/router/index.js:286:9    at Function.process_params (/var/www/html/ANGULAR/server/node_modules/express/lib/router/index.js:346:12)    at next (/var/www/html/ANGULAR/server/node_modules/express/lib/router/index.js:280:10)    at Function.handle (/var/www/html/ANGULAR/server/node_modules/express/lib/router/index.js:175:3)    at router (/var/www/html/ANGULAR/server/node_modules/express/lib/router/index.js:47:12)    at Layer.handle [as handle_request] (/var/www/html/ANGULAR/server/node_modules/express/lib/router/layer.js:95:5)    at trim_prefix (/var/www/html/ANGULAR/server/node_modules/express/lib/router/index.js:328:13)
